ID;Time[s];
500;0.844464;Stop bit
501;0.844482;Start bit
502;0.84449;00000000
503;0.84456;Stop bit
504;0.845523;Start bit
505;0.845532;00000001
506;0.845602;Stop bit
507;0.845619;Start bit
508;0.845627;00000010
509;0.845697;Stop bit
510;0.845714;Start bit
511;0.845723;11111101
512;0.845792;Stop bit
513;0.84581;Start bit
514;0.845818;00001010
515;0.845888;Stop bit
516;0.845905;Start bit
517;0.845914;00000001
518;0.845983;Stop bit
519;0.846001;Start bit
520;0.846009;00000001
521;0.846079;Stop bit
522;0.846096;Start bit
523;0.846105;01010100
524;0.846174;Stop bit
525;0.846192;Start bit
526;0.8462;00000010
527;0.84627;Stop bit
528;0.846287;Start bit
529;0.846296;00000000
530;0.846365;Stop bit
531;0.846383;Start bit
532;0.846391;00000000
533;0.846461;Stop bit
534;0.846478;Start bit
535;0.846487;00100110
536;0.846556;Stop bit
537;0.846574;Start bit
538;0.846583;00000101
539;0.846652;Stop bit
540;0.846669;Start bit
541;0.846678;00000000
542;0.846747;Stop bit
543;0.846765;Start bit
544;0.846773;00000000
545;0.846843;Stop bit
546;0.847807;Start bit
547;0.847815;00000001
548;0.847885;Stop bit
549;0.847903;Start bit
550;0.847911;00000010
551;0.84798;Stop bit
552;0.847998;Start bit
553;0.848006;11111101
554;0.848076;Stop bit
555;0.848093;Start bit
556;0.848102;00001010
557;0.848171;Stop bit
558;0.848189;Start bit
559;0.848197;00000001
560;0.848267;Stop bit
561;0.848284;Start bit
562;0.848293;00000001
563;0.848362;Stop bit
564;0.84838;Start bit
565;0.848388;01011000
566;0.848458;Stop bit
567;0.848475;Start bit
568;0.848484;00000010
569;0.848553;Stop bit
570;0.848571;Start bit
571;0.848579;00000000
572;0.848649;Stop bit
573;0.848666;Start bit
574;0.848675;00000000
575;0.848745;Stop bit
576;0.848762;Start bit
577;0.84877;00011000
578;0.84884;Stop bit
579;0.848857;Start bit
580;0.848866;10001001
581;0.848935;Stop bit
582;0.848953;Start bit
583;0.848961;00000000
584;0.849031;Stop bit
585;0.849048;Start bit
586;0.849057;00000000
587;0.849127;Stop bit
588;0.85009;Start bit
589;0.850098;00000001
590;0.850168;Stop bit
591;0.850185;Start bit
592;0.850194;00000010
593;0.850263;Stop bit
594;0.850281;Start bit
595;0.850289;11111101
596;0.850359;Stop bit
597;0.850376;Start bit
598;0.850385;00001010
599;0.850455;Stop bit
600;0.850472;Start bit
601;0.85048;00000001
602;0.85055;Stop bit
603;0.850567;Start bit
604;0.850576;00000001
605;0.850645;Stop bit
606;0.850663;Start bit
607;0.850671;01100000
608;0.850741;Stop bit
609;0.850758;Start bit
610;0.850767;00000010
611;0.850836;Stop bit
612;0.850854;Start bit
613;0.850862;00000000
614;0.850932;Stop bit
615;0.850949;Start bit
616;0.850958;00000000
617;0.851027;Stop bit
618;0.851045;Start bit
619;0.851053;00000000
620;0.851123;Stop bit
621;0.85114;Start bit
622;0.851149;10001000
623;0.851218;Stop bit
624;0.851236;Start bit
625;0.851244;00000000
626;0.851314;Stop bit
627;0.851331;Start bit
628;0.85134;00000000
629;0.851409;Stop bit
630;0.852364;Start bit
631;0.852373;00000001
632;0.852442;Stop bit
633;0.85246;Start bit
634;0.852468;00000010
635;0.852538;Stop bit
636;0.852555;Start bit
637;0.852564;11111101
638;0.852633;Stop bit
639;0.852651;Start bit
640;0.85266;00001010
641;0.852729;Stop bit
642;0.852746;Start bit
643;0.852755;00000001
644;0.852824;Stop bit
645;0.852842;Start bit
646;0.85285;00000001
647;0.85292;Stop bit
648;0.852938;Start bit
649;0.852946;01100100
650;0.853015;Stop bit
651;0.853033;Start bit
652;0.853042;00000010
653;0.853111;Stop bit
654;0.853128;Start bit
655;0.853137;00000000
656;0.853206;Stop bit
657;0.853224;Start bit
658;0.853232;00000000
659;0.853302;Stop bit
660;0.85332;Start bit
661;0.853328;11001000
662;0.853397;Stop bit
663;0.853415;Start bit
664;0.853424;00010000
665;0.853493;Stop bit
666;0.85351;Start bit
667;0.853519;00000000
668;0.853588;Stop bit
669;0.853606;Start bit
670;0.853614;00000000
671;0.853684;Stop bit
672;0.854648;Start bit
673;0.854656;00000001
674;0.854726;Stop bit
675;0.854743;Start bit
676;0.854752;00000010
677;0.854822;Stop bit
678;0.854839;Start bit
679;0.854847;11111101
680;0.854917;Stop bit
681;0.854934;Start bit
682;0.854943;00001010
683;0.855012;Stop bit
684;0.85503;Start bit
685;0.855038;00000001
686;0.855108;Stop bit
687;0.855125;Start bit
688;0.855134;00000001
689;0.855204;Stop bit
690;0.855221;Start bit
691;0.855229;01101000
692;0.855299;Stop bit
693;0.855316;Start bit
694;0.855325;00000010
695;0.855394;Stop bit
696;0.855412;Start bit
697;0.85542;00000000
698;0.85549;Stop bit
699;0.855507;Start bit
700;0.855516;00000000
701;0.855585;Stop bit
702;0.855603;Start bit
703;0.855611;00101000
704;0.855681;Stop bit
705;0.855698;Start bit
706;0.855707;10010001
707;0.855776;Stop bit
708;0.855794;Start bit
709;0.855802;00000000
710;0.855872;Stop bit
711;0.855889;Start bit
712;0.855898;00000000
713;0.855967;Stop bit
714;0.856931;Start bit
715;0.856939;00000001
716;0.857009;Stop bit
717;0.857026;Start bit
718;0.857035;00000010
719;0.857104;Stop bit
720;0.857122;Start bit
721;0.85713;11111101
722;0.8572;Stop bit
723;0.857217;Start bit
724;0.857226;00001010
725;0.857295;Stop bit
726;0.857313;Start bit
727;0.857321;00000001
728;0.857391;Stop bit
729;0.857408;Start bit
730;0.857417;00000001
731;0.857486;Stop bit
732;0.857504;Start bit
733;0.857513;01101100
734;0.857582;Stop bit
735;0.857599;Start bit
736;0.857608;00000010
737;0.857677;Stop bit
738;0.857695;Start bit
739;0.857703;00000000
740;0.857773;Stop bit
741;0.857791;Start bit
742;0.857799;00000000
743;0.857868;Stop bit
744;0.857886;Start bit
745;0.857895;11000000
746;0.857964;Stop bit
747;0.857981;Start bit
748;0.85799;10000000
749;0.858059;Stop bit
750;0.858077;Start bit
751;0.858085;00000000
752;0.858155;Stop bit
753;0.858173;Start bit
754;0.858181;00000000
755;0.85825;Stop bit
756;0.859214;Start bit
757;0.859223;00000001
758;0.859293;Stop bit
759;0.85931;Start bit
760;0.859318;00000010
761;0.859388;Stop bit
762;0.859405;Start bit
763;0.859414;11111101
764;0.859483;Stop bit
765;0.859501;Start bit
766;0.859509;00001010
767;0.859579;Stop bit
768;0.859596;Start bit
769;0.859605;00000001
770;0.859675;Stop bit
771;0.859692;Start bit
772;0.8597;00000001
773;0.85977;Stop bit
774;0.859787;Start bit
775;0.859796;01110000
776;0.859865;Stop bit
777;0.859883;Start bit
778;0.859891;00000010
779;0.859961;Stop bit
780;0.859978;Start bit
781;0.859987;00000000
782;0.860057;Stop bit
783;0.860074;Start bit
784;0.860082;00000000
785;0.860152;Stop bit
786;0.860169;Start bit
787;0.860178;00010011
788;0.860247;Stop bit
789;0.860265;Start bit
790;0.860273;00110110
791;0.860343;Stop bit
792;0.86036;Start bit
793;0.860369;00000000
794;0.860438;Stop bit
795;0.860456;Start bit
796;0.860464;00000000
797;0.860534;Stop bit
798;0.861497;Start bit
799;0.861506;00000001
800;0.861575;Stop bit
801;0.861593;Start bit
802;0.861601;00000010
803;0.861671;Stop bit
804;0.861688;Start bit
805;0.861697;11111101
806;0.861766;Stop bit
807;0.861784;Start bit
808;0.861792;00001010
809;0.861862;Stop bit
810;0.861879;Start bit
811;0.861888;00000001
